Date,Fund_Return,SPY_Return,Residual,Fund,Year,Quantile
2008-06-26,-0.0080083123918057,-0.0271602491757755,0.0165818562563293,VGENX,2008,10
2008-07-10,0.0206539599289015,0.004086722513976,0.0165828201015893,PRNEX,2008,10
2020-06-01,0.0204778729356522,0.0040417020972898,0.0165903390562534,VGENX,2020,10
2019-10-22,0.0132991189915387,-0.0032668998254098,0.0165905930935302,FRNRX,2019,10
2017-07-19,0.0221966445571595,0.0054139764020921,0.0165926042580784,FNARX,2017,10
2025-05-09,0.0154457898043416,-0.0012741318546691,0.0165933539441412,FNARX,2025,10
2024-07-24,-0.0075257042555739,-0.0226627057565251,0.0165956667903034,RYEIX,2024,10
2011-03-17,0.0306123479618831,0.013235108260484,0.0165973886994411,RYEIX,2011,10
2022-05-25,0.0252917782880222,0.0088346438690607,0.0166029107217211,ICPAX,2022,10
2015-01-27,0.0032213136020007,-0.0131904115689246,0.0166041583201297,FRNRX,2015,10
2018-10-26,-0.001241807353308,-0.0175872189091275,0.0166122178848357,FRNRX,2018,10
1999-06-11,0.0091860541356798,-0.0083549504534394,0.0166128185380557,VGENX,1999,10
2022-05-16,0.0120723479338271,-0.0040575327398778,0.0166130079382569,ICPAX,2022,10
2015-08-28,0.0168269817597965,4.988158149088484e-05,0.0166130743665883,PRNEX,2015,10
2018-04-05,0.0243407014015379,0.0078919915070436,0.0166191526822555,ICPAX,2018,10
2009-01-08,0.0206875876481376,0.0040804743907201,0.0166224179504585,PRNEX,2009,10
2022-04-06,0.0076959827893974,-0.0099992840591053,0.0166235136941107,VGENX,2022,10
2016-11-21,0.0240074587912189,0.0075515231937033,0.0166256753732706,PRNEX,2016,10
2002-07-09,-0.0101730896025356,-0.0251858489176401,0.0166287627941522,RYEIX,2002,10
2025-02-04,0.0235405825586827,0.0067082374846438,0.0166299936012134,FNARX,2025,10
2018-04-10,0.0328220164644332,0.015900269741667,0.0166321270820473,FNARX,2018,10
2025-05-23,0.0097289466939149,-0.0068256686531443,0.0166393871564083,FRNRX,2025,10
2011-11-02,0.0330099776725993,0.0163112299606569,0.0166488833881864,ICPAX,2011,10
2013-08-26,0.0129034200455715,-0.0037207985642083,0.0166564707057211,FRNRX,2013,10
2006-05-23,0.008860548349187,-0.0076110637003946,0.0166573943171192,FSENX,2006,10
2011-07-15,0.0221618341577205,0.005804667899053,0.016665259381185,VGENX,2011,10
2008-10-16,0.0588579746205844,0.0416575444504865,0.0166662737271884,FNARX,2008,10
2005-09-14,0.0131408501828642,-0.0036388096992215,0.0166755421649296,FNARX,2005,10
2000-05-23,0.0014479421949569,-0.0147254296933118,0.0166789026666394,FSENX,2000,10
1999-05-20,0.0102353475622918,-0.0060227783661193,0.0166791584378956,RYEIX,1999,10
2006-03-23,0.014437367424307,-0.0020712819193519,0.0166832743931529,RYEIX,2006,10
2006-07-31,0.0157976872263572,-0.0010161650397264,0.0166848354419543,FNARX,2006,10
2011-01-31,0.0240302733689314,0.0075163704655945,0.0166941746069939,ICPAX,2011,10
2021-09-28,-0.0037649440467948,-0.0201518608705625,0.0166971047619817,FRNRX,2021,10
2001-08-21,-0.0006189534225612,-0.0170584674023709,0.0166973763347454,FRNRX,2001,10
2021-03-24,0.0122591460741323,-0.0050833649429696,0.0166999677659004,VGENX,2021,10
2023-02-23,0.0217821057434468,0.0053193887605935,0.0167004773413514,ICPAX,2023,10
1999-06-11,0.0081263773984223,-0.0083549504534394,0.0167005434122256,FSENX,1999,10
2002-12-02,0.0184502345607575,0.0015950320202211,0.0167013952917155,FNARX,2002,10
2002-10-02,-0.0151869810239908,-0.0299808622914624,0.0167088922445599,RYEIX,2002,10
2022-05-06,0.0106722977546453,-0.0059691024335284,0.0167116829493242,FRNRX,2022,10
2015-01-16,0.029795128753342,0.0131140278836858,0.0167148980740057,ICPAX,2015,10
2000-05-19,0.0,-0.0156929137580242,0.016716956679332,RYEIX,2000,10
2018-03-01,0.0021811620628915,-0.0145408753763541,0.0167214227637776,FNARX,2018,10
2006-06-29,0.0372950745896933,0.0202004423799539,0.0167222500753393,FRNRX,2006,10
2021-11-23,0.0181016018259008,0.0013258543184677,0.0167226341112685,FRNRX,2021,10
2003-07-17,0.0039543851865229,-0.0142113394988695,0.0167262161093133,VGENX,2003,10
2003-02-26,0.0029792440602713,-0.0145615874485812,0.0167267072524539,PRNEX,2003,10
2017-09-13,0.016842196329436,0.0004798054294699,0.0167267891522003,ICPAX,2017,10
2009-07-09,0.0187338602474664,0.0019318968425452,0.016726958188035,RYEIX,2009,10
2025-11-06,0.0052836250899428,-0.0107293822508095,0.016727534308357,RYEIX,2025,10
2004-03-30,0.020423777581267,0.0033752419963293,0.0167405486410541,FSENX,2004,10
2009-09-15,0.0212666876029339,0.0041795725295263,0.0167429782476564,FSENX,2009,10
2005-11-21,0.0221648081425327,0.0050342591917607,0.0167479990341353,FSENX,2005,10
2000-02-14,0.0229260267449216,0.0058579504648634,0.0167482501671154,RYEIX,2000,10
1999-02-04,0.0026190379020645,-0.014961860313886,0.0167489648832265,PRNEX,1999,10
2003-01-30,-0.007325964593337,-0.0237049565515321,0.0167492814663718,FRNRX,2003,10
2008-03-05,0.0234151767672787,0.0063164798265378,0.0167502778486918,RYEIX,2008,10
2004-06-17,0.0154929039025859,-0.001491306108213,0.016751613152736,PRNEX,2004,10
2008-04-04,0.0158729274169904,-0.0010940321440121,0.0167520383511381,PRNEX,2008,10
2003-02-04,0.0075001393976079,-0.0098574501684866,0.0167527633839048,PRNEX,2003,10
