Fund,Year,L2_Distance,Quantile
FSELX,1999,0.018471935473151194,10
FSELX,2000,0.031160265199754733,10
FSELX,2001,0.026892776268309434,10
FSELX,2002,0.02079276143354827,10
FSELX,2003,0.012483766654557554,8
FSELX,2004,0.013647877530386938,8
FSELX,2005,0.008328378635709044,5
FSELX,2006,0.009063479330206639,6
FSELX,2007,0.008762513892035181,5
FSELX,2008,0.01798394615169971,10
FSELX,2009,0.012968317579222496,8
FSELX,2010,0.008894016852069263,6
FSELX,2011,0.011154016220747508,7
FSELX,2012,0.00904143572527874,6
FSELX,2013,0.006966270046176129,4
FSELX,2014,0.00730401098071729,4
FSELX,2015,0.010827775347760403,7
FSELX,2016,0.008322379714704675,5
FSELX,2017,0.009573462964550786,6
FSELX,2018,0.016503886792633263,9
FSELX,2019,0.010583516134822736,7
FSELX,2020,0.014172471551783692,8
FSELX,2021,0.014240374761672281,9
FSELX,2022,0.015183879891141333,9
FSELX,2023,0.015504293349317591,9
FSELX,2024,0.015882339292448196,9
FSELX,2025,0.016229003688289678,9
FSELX,2026,0.0004374161914712,1
FSPTX,1999,0.017536760257823105,9
FSPTX,2000,0.02995484637565859,10
FSPTX,2001,0.02220606344916228,10
FSPTX,2002,0.014301095106960279,9
FSPTX,2003,0.009082680736675655,6
FSPTX,2004,0.009932191681113443,6
FSPTX,2005,0.005715581738047483,2
FSPTX,2006,0.0058469901367233235,2
FSPTX,2007,0.0073727441667815466,4
FSPTX,2008,0.013747393786571922,8
FSPTX,2009,0.008290437331108205,5
FSPTX,2010,0.005183111376416553,2
FSPTX,2011,0.006979161916760784,4
FSPTX,2012,0.005271355857634689,2
FSPTX,2013,0.0070150961656226364,4
FSPTX,2014,0.009773653928126754,6
FSPTX,2015,0.005311775175254837,2
FSPTX,2016,0.0052000479271692565,2
FSPTX,2017,0.006539629510145597,3
FSPTX,2018,0.01179485700572652,8
FSPTX,2019,0.004634001514967579,1
FSPTX,2020,0.016013440432522175,9
FSPTX,2021,0.009478578326469159,6
FSPTX,2022,0.007702506836411484,4
FSPTX,2023,0.0068193059917722385,4
FSPTX,2024,0.008180334412845085,5
FSPTX,2025,0.008825417096451899,6
FSPTX,2026,0.0003786495819653,1
ICTEX,1999,0.04117294365008078,10
ICTEX,2000,0.9111448749491531,10
ICTEX,2001,0.016529006449717474,9
ICTEX,2002,0.012790960229207072,8
ICTEX,2003,0.01281901015604357,8
ICTEX,2004,0.009585512332013622,6
ICTEX,2005,0.0058285383879144725,2
ICTEX,2006,0.0062854433275116315,3
ICTEX,2007,0.0069791892155066345,4
ICTEX,2008,0.013830663271125612,8
ICTEX,2009,0.008777395813391395,5
ICTEX,2010,0.005988643661256834,3
ICTEX,2011,0.00635673140240318,3
ICTEX,2012,0.005158713326083894,2
ICTEX,2013,0.006001050826971974,3
ICTEX,2014,0.004818581032245156,1
ICTEX,2015,0.005432316583010695,2
ICTEX,2016,0.01831979761003648,10
ICTEX,2017,0.020639697495867835,10
