Fund,Year,L2_Distance,Quantile
DPREX,2023,0.004954099170759769,1
DPREX,2024,0.005843736962459678,1
DPREX,2025,0.007136377343731417,2
DPREX,2026,0.0004494218635087,1
FREAX,1999,0.01092528743521072,7
FREAX,2000,0.012951923593452219,9
FREAX,2001,0.013207663136871333,9
FREAX,2002,0.01223433555400009,8
FREAX,2003,0.008851507048731264,4
FREAX,2004,0.010708105464655148,7
FREAX,2005,0.01114221845922987,8
FREAX,2006,0.010466169026282515,7
FREAX,2007,0.015172384984072336,9
FREAX,2008,0.028895674019145234,10
FREAX,2009,0.028217383565253423,10
FREAX,2010,0.009482402336630981,5
FREAX,2011,0.008845547268225935,4
FREAX,2012,0.006193483122180621,1
FREAX,2013,0.008173969212107848,4
FREAX,2014,0.006320775283147599,2
FREAX,2015,0.00852355028556584,4
FREAX,2016,0.009185949210021917,5
FREAX,2017,0.009510254890446017,6
FREAX,2018,0.00922313749825834,5
FREAX,2019,0.010352854605495128,7
FREAX,2020,0.012645159338860424,8
FREAX,2021,0.013103862427004445,9
FREAX,2022,0.011515184407686379,8
FREAX,2023,0.0090371052501312,4
FREAX,2024,0.009291223338673011,5
FREAX,2025,0.009557501182463379,6
FREAX,2026,0.0003779927579877,1
FRESX,1999,0.011358015712844874,8
FRESX,2000,0.013295053760920437,9
FRESX,2001,0.011432473689859966,8
FRESX,2002,0.013064612275999556,9
FRESX,2003,0.0075574904327217075,3
FRESX,2004,0.009991976405671227,6
FRESX,2005,0.007984442162917865,3
FRESX,2006,0.010916443432530884,7
FRESX,2007,0.011866779200924188,8
FRESX,2008,0.031159709643623183,10
FRESX,2009,0.031240350438732373,10
FRESX,2010,0.010251220554186277,7
FRESX,2011,0.009045133701101474,4
FRESX,2012,0.006129004458822383,1
FRESX,2013,0.007111224613807921,2
FRESX,2014,0.006414251295382203,2
FRESX,2015,0.008926631584313194,4
FRESX,2016,0.00867940829099484,4
FRESX,2017,0.006458419870843438,2
FRESX,2018,0.009801583957119036,6
FRESX,2019,0.008467489180010793,4
FRESX,2020,0.013306148470084362,9
FRESX,2021,0.0075917637619966356,3
FRESX,2022,0.009685972860013475,6
FRESX,2023,0.009023465326749103,4
FRESX,2024,0.00979028855127398,6
FRESX,2025,0.009988106545883712,6
FRESX,2026,0.0002546311983001,1
IARAX,1999,0.010966966161872569,7
IARAX,2000,0.01252967998185468,8
IARAX,2001,0.010477092706341323,7
IARAX,2002,0.012455740265507716,8
IARAX,2003,0.007326643421359137,2
IARAX,2004,0.00962932662614315,6
IARAX,2005,0.007688223002898802,3
IARAX,2006,0.010313910630377583,7
IARAX,2007,0.019093507051155884,10
IARAX,2008,0.029710436394363663,10
IARAX,2009,0.027565071225072433,10
