Fund,Year,L2_Distance,Sector
DPREX,2005,0.014115902954760189,re
DPREX,2006,0.035868193179595234,re
DPREX,2007,0.031484658925343384,re
DPREX,2008,0.03124073364720719,re
DPREX,2009,0.029436075431965872,re
DPREX,2010,0.010394985317701909,re
DPREX,2011,0.009468587127909787,re
DPREX,2012,0.006057541559862811,re
DPREX,2013,0.007413595507302371,re
DPREX,2014,0.006975587426886033,re
DPREX,2015,0.011377488812780417,re
DPREX,2016,0.021908553423575523,re
DPREX,2017,0.006467170468029675,re
DPREX,2018,0.008852234779420274,re
DPREX,2019,0.006840677179951815,re
DPREX,2020,0.007494676604351625,re
DPREX,2021,0.0049874896927398155,re
DPREX,2022,0.009748529455227653,re
DPREX,2023,0.0049541111474735635,re
DPREX,2024,0.005843750292838754,re
DPREX,2025,0.007136379091680809,re
FREAX,1999,0.010925292654695098,re
FREAX,2000,0.012951917684647419,re
FREAX,2001,0.013207660268696436,re
FREAX,2002,0.012234329998212846,re
FREAX,2003,0.008851504573153259,re
FREAX,2004,0.010708101606602915,re
FREAX,2005,0.011142215176356867,re
FREAX,2006,0.010466164379351066,re
FREAX,2007,0.015172387170262725,re
FREAX,2008,0.028895675179681328,re
FREAX,2009,0.02821738371922748,re
FREAX,2010,0.00948240106627491,re
FREAX,2011,0.008845548079661323,re
FREAX,2012,0.006193483482089353,re
FREAX,2013,0.008173975787548507,re
FREAX,2014,0.006320771070574806,re
FREAX,2015,0.008523550783228794,re
FREAX,2016,0.009185950593601371,re
FREAX,2017,0.009510257017755876,re
FREAX,2018,0.009223138382576,re
FREAX,2019,0.010352853933798901,re
FREAX,2020,0.012645164987498781,re
FREAX,2021,0.013103858707278353,re
FREAX,2022,0.011515184301024545,re
FREAX,2023,0.009037109971589179,re
FREAX,2024,0.009291227905400611,re
FREAX,2025,0.00955750469169365,re
FRESX,1999,0.01135801837260857,re
FRESX,2000,0.01329504949418752,re
FRESX,2001,0.011432470469620242,re
FRESX,2002,0.013064608336068673,re
FRESX,2003,0.0075574890445967964,re
FRESX,2004,0.009991973274301067,re
FRESX,2005,0.007984440021760192,re
FRESX,2006,0.010916440317644377,re
FRESX,2007,0.011866782801034377,re
FRESX,2008,0.03115971033678895,re
FRESX,2009,0.031240350321963987,re
FRESX,2010,0.010251219424053395,re
FRESX,2011,0.00904513379675972,re
FRESX,2012,0.00612900493374116,re
FRESX,2013,0.007111230623407576,re
FRESX,2014,0.0064142490558454736,re
FRESX,2015,0.008926630992293584,re
FRESX,2016,0.008679409451681984,re
FRESX,2017,0.006458423819293572,re
FRESX,2018,0.009801583852370918,re
FRESX,2019,0.008467489177035527,re
FRESX,2020,0.013306151753946003,re
FRESX,2021,0.007591761421610039,re
FRESX,2022,0.009685973546172583,re
FRESX,2023,0.009023467451396941,re
FRESX,2024,0.009790291361341796,re
FRESX,2025,0.009988108354708017,re
IARAX,1999,0.010966970980163155,re
IARAX,2000,0.012529674384948735,re
IARAX,2001,0.010477089336338334,re
IARAX,2002,0.012455735003489305,re
IARAX,2003,0.007326641044005018,re
IARAX,2004,0.009629322582052936,re
IARAX,2005,0.00768822125772012,re
IARAX,2006,0.010313906032126645,re
IARAX,2007,0.019093507520680172,re
IARAX,2008,0.029710437614354147,re
IARAX,2009,0.027565071363927628,re
IARAX,2010,0.009125532840643226,re
IARAX,2011,0.008494784213280277,re
IARAX,2012,0.008484001798745007,re
IARAX,2013,0.012133246543747327,re
IARAX,2014,0.006219087996619277,re
IARAX,2015,0.015101359864021793,re
IARAX,2016,0.012975407575864286,re
IARAX,2017,0.006641694322195296,re
IARAX,2018,0.009908436168706278,re
IARAX,2019,0.014074890047240383,re
IARAX,2020,0.013440214698371667,re
IARAX,2021,0.0077115998456195245,re
IARAX,2022,0.011507356509197646,re
IARAX,2023,0.009406070816814962,re
IARAX,2024,0.009320609287030641,re
IARAX,2025,0.009962661998530891,re
PHRAX,1999,0.011500958214140605,re
PHRAX,2000,0.012941483450698763,re
