Fund,Year,L2_Distance,Sector
FSPTX,2001,0.022206065537268522,tech
FSPTX,2002,0.01430109890168624,tech
FSPTX,2003,0.009082679045693843,tech
FSPTX,2004,0.009932196622564489,tech
FSPTX,2005,0.005715584798497319,tech
FSPTX,2006,0.0058469979887494266,tech
FSPTX,2007,0.007372743332099809,tech
FSPTX,2008,0.013747395428570492,tech
FSPTX,2009,0.008290429406123232,tech
FSPTX,2010,0.005183112000941281,tech
FSPTX,2011,0.006979168197835797,tech
FSPTX,2012,0.005271360419724778,tech
FSPTX,2013,0.007015098377642668,tech
FSPTX,2014,0.009773653020208726,tech
FSPTX,2015,0.005311774573876953,tech
FSPTX,2016,0.005200051863785082,tech
FSPTX,2017,0.0065396240803062425,tech
FSPTX,2018,0.011794855186936598,tech
FSPTX,2019,0.004634001656692325,tech
FSPTX,2020,0.016013433672525085,tech
FSPTX,2021,0.009478580212914482,tech
FSPTX,2022,0.007702514728261622,tech
FSPTX,2023,0.006819302879914274,tech
FSPTX,2024,0.008180334332375033,tech
FSPTX,2025,0.008825416914772446,tech
ICTEX,1999,0.04117292667281034,tech
ICTEX,2000,0.9111448531420008,tech
ICTEX,2001,0.016529052774657233,tech
ICTEX,2002,0.01279105156096084,tech
ICTEX,2003,0.01281906801033913,tech
ICTEX,2004,0.009585619360354711,tech
ICTEX,2005,0.005828708404211041,tech
ICTEX,2006,0.00628561210562472,tech
ICTEX,2007,0.006979293094897388,tech
ICTEX,2008,0.013830720140884748,tech
ICTEX,2009,0.00877747578476896,tech
ICTEX,2010,0.005988813176092203,tech
ICTEX,2011,0.006356866095488526,tech
ICTEX,2012,0.005158903891387574,tech
ICTEX,2013,0.00600122873787538,tech
ICTEX,2014,0.004818771673967688,tech
ICTEX,2015,0.0054324557431133435,tech
ICTEX,2016,0.018319823812120592,tech
ICTEX,2017,0.020639715614607396,tech
ICTEX,2018,0.013360555142180213,tech
ICTEX,2019,0.005546872237942305,tech
ICTEX,2020,0.010551395073998248,tech
ICTEX,2021,0.005899164085106733,tech
ICTEX,2022,0.017443571295851282,tech
ICTEX,2023,0.011940047693591437,tech
ICTEX,2024,0.006849955130911641,tech
ICTEX,2025,0.01854575110154144,tech
KTCAX,1999,0.014244713842389714,tech
KTCAX,2000,0.02287889408907021,tech
KTCAX,2001,0.019432785038066207,tech
KTCAX,2002,0.014233317137865175,tech
KTCAX,2003,0.008821163052501838,tech
KTCAX,2004,0.008556865106463555,tech
KTCAX,2005,0.005224189080402924,tech
KTCAX,2006,0.006107692068772027,tech
KTCAX,2007,0.006178199768271128,tech
KTCAX,2008,0.012783784698852739,tech
KTCAX,2009,0.007907351388610907,tech
KTCAX,2010,0.005036303933886669,tech
KTCAX,2011,0.006418525982619648,tech
KTCAX,2012,0.00521741318036774,tech
KTCAX,2013,0.004451457021688097,tech
KTCAX,2014,0.01848341349697408,tech
KTCAX,2015,0.009060304080165619,tech
KTCAX,2016,0.004954286721457234,tech
KTCAX,2017,0.00555619951331623,tech
KTCAX,2018,0.01149346825225226,tech
KTCAX,2019,0.007849285730367025,tech
KTCAX,2020,0.010348021756975972,tech
KTCAX,2021,0.01001190142890807,tech
KTCAX,2022,0.008935922995241888,tech
KTCAX,2023,0.010125254433873817,tech
KTCAX,2024,0.009151616543854211,tech
KTCAX,2025,0.007968330426695983,tech
MTCAX,1999,0.016200996998850102,tech
MTCAX,2000,0.02453037534939952,tech
MTCAX,2001,0.02654711745112185,tech
MTCAX,2002,0.01682709617520163,tech
MTCAX,2003,0.008426889565107816,tech
MTCAX,2004,0.0084782528677212,tech
MTCAX,2005,0.005878194490904339,tech
MTCAX,2006,0.006638424215089228,tech
