Fund,Year,L2_Distance,Sector,Quantile
FRESX,2002,0.0130646083360686,re,9
FRESX,2003,0.0075574890445967,re,3
FRESX,2004,0.009991973274301,re,6
FRESX,2005,0.0079844400217601,re,3
FRESX,2006,0.0109164403176443,re,7
FRESX,2007,0.0118667828010343,re,8
FRESX,2008,0.0311597103367889,re,10
FRESX,2009,0.0312403503219639,re,10
FRESX,2010,0.0102512194240533,re,6
FRESX,2011,0.0090451337967597,re,4
FRESX,2012,0.0061290049337411,re,1
FRESX,2013,0.0071112306234075,re,2
FRESX,2014,0.0064142490558454,re,1
FRESX,2015,0.0089266309922935,re,4
FRESX,2016,0.0086794094516819,re,4
FRESX,2017,0.0064584238192935,re,1
FRESX,2018,0.0098015838523709,re,6
FRESX,2019,0.0084674891770355,re,3
FRESX,2020,0.013306151753946,re,9
FRESX,2021,0.00759176142161,re,3
FRESX,2022,0.0096859735461725,re,6
FRESX,2023,0.0090234674513969,re,4
FRESX,2024,0.0097902913613417,re,6
FRESX,2025,0.009988108354708,re,6
IARAX,1999,0.0109669709801631,re,7
IARAX,2000,0.0125296743849487,re,8
IARAX,2001,0.0104770893363383,re,7
IARAX,2002,0.0124557350034893,re,8
IARAX,2003,0.007326641044005,re,2
IARAX,2004,0.0096293225820529,re,6
IARAX,2005,0.0076882212577201,re,3
IARAX,2006,0.0103139060321266,re,7
IARAX,2007,0.0190935075206801,re,10
IARAX,2008,0.0297104376143541,re,10
IARAX,2009,0.0275650713639276,re,10
IARAX,2010,0.0091255328406432,re,5
IARAX,2011,0.0084947842132802,re,4
IARAX,2012,0.008484001798745,re,4
IARAX,2013,0.0121332465437473,re,8
IARAX,2014,0.0062190879966192,re,1
IARAX,2015,0.0151013598640217,re,9
IARAX,2016,0.0129754075758642,re,9
IARAX,2017,0.0066416943221952,re,2
IARAX,2018,0.0099084361687062,re,6
IARAX,2019,0.0140748900472403,re,9
IARAX,2020,0.0134402146983716,re,9
IARAX,2021,0.0077115998456195,re,3
IARAX,2022,0.0115073565091976,re,8
IARAX,2023,0.0094060708168149,re,5
IARAX,2024,0.0093206092870306,re,5
IARAX,2025,0.0099626619985308,re,6
PHRAX,1999,0.0115009582141406,re,8
PHRAX,2000,0.0129414834506987,re,9
PHRAX,2001,0.0115434650895019,re,8
PHRAX,2002,0.0132073813795845,re,9
PHRAX,2003,0.0077710278920386,re,3
PHRAX,2004,0.0110907467601002,re,7
PHRAX,2005,0.0078018183582143,re,3
PHRAX,2006,0.0082479090982698,re,3
PHRAX,2007,0.0115135498407705,re,8
PHRAX,2008,0.0302238047442287,re,10
PHRAX,2009,0.0294569212991329,re,10
PHRAX,2010,0.0100366251642825,re,6
PHRAX,2011,0.0091461367418254,re,5
PHRAX,2012,0.006181076971871,re,1
PHRAX,2013,0.0085637238458476,re,4
PHRAX,2014,0.0072622642711968,re,2
PHRAX,2015,0.0164395926539282,re,9
PHRAX,2016,0.0165001827292593,re,9
PHRAX,2017,0.013305544238997,re,9
PHRAX,2018,0.013640373985551,re,9
PHRAX,2019,0.0176201410640818,re,10
PHRAX,2020,0.0141512180523744,re,9
PHRAX,2021,0.008028636791302,re,3
PHRAX,2022,0.011948228128328,re,8
