Fund,Year,L2_Distance,Sector,Quantile
PHSTX,2018,0.0060831850254909,healthcare,2
PHSTX,2019,0.006596194866075,healthcare,3
PHSTX,2020,0.0094305401172584,healthcare,7
PHSTX,2021,0.0104408498773892,healthcare,8
PHSTX,2022,0.0084610117008634,healthcare,6
PHSTX,2023,0.0072597904802995,healthcare,4
PHSTX,2024,0.0071202957978374,healthcare,4
PHSTX,2025,0.0093980733340371,healthcare,7
PRHSX,1999,0.0113273836014039,healthcare,9
PRHSX,2000,0.0206586396025636,healthcare,10
PRHSX,2001,0.0133370868412029,healthcare,9
PRHSX,2002,0.0113877300114979,healthcare,9
PRHSX,2003,0.0075159951912434,healthcare,4
PRHSX,2004,0.0072394920349612,healthcare,4
PRHSX,2005,0.0071210630103756,healthcare,4
PRHSX,2006,0.0063267456580372,healthcare,2
PRHSX,2007,0.0078679067680129,healthcare,4
PRHSX,2008,0.0092428997423897,healthcare,6
PRHSX,2009,0.0081369437061009,healthcare,5
PRHSX,2010,0.005235677505887,healthcare,1
PRHSX,2011,0.0067437013448024,healthcare,3
PRHSX,2012,0.0060161264137053,healthcare,2
PRHSX,2013,0.0078440871769595,healthcare,4
PRHSX,2014,0.0112212649782658,healthcare,8
PRHSX,2015,0.0121378423481727,healthcare,9
PRHSX,2016,0.0092034457555087,healthcare,6
PRHSX,2017,0.0079880113794719,healthcare,5
PRHSX,2018,0.0068923679641834,healthcare,3
PRHSX,2019,0.0083321768870937,healthcare,5
PRHSX,2020,0.0097977219264859,healthcare,7
PRHSX,2021,0.0098646641617445,healthcare,7
PRHSX,2022,0.0073678602449617,healthcare,4
PRHSX,2023,0.0066063005884676,healthcare,3
PRHSX,2024,0.0109419411605547,healthcare,8
PRHSX,2025,0.0125906148419039,healthcare,9
VGHCX,1999,0.0070007788012692,healthcare,3
VGHCX,2000,0.0125639062392081,healthcare,9
VGHCX,2001,0.0087508442238552,healthcare,6
VGHCX,2002,0.0082223176929228,healthcare,5
VGHCX,2003,0.0050626513933523,healthcare,1
VGHCX,2004,0.0039979980865794,healthcare,1
VGHCX,2005,0.0039565602133157,healthcare,1
VGHCX,2006,0.0042591999721878,healthcare,1
VGHCX,2007,0.0051240856553114,healthcare,1
VGHCX,2008,0.0101626014122465,healthcare,7
VGHCX,2009,0.0074500091384341,healthcare,4
VGHCX,2010,0.0040502645451252,healthcare,1
VGHCX,2011,0.004342192009694,healthcare,1
VGHCX,2012,0.0029937773973253,healthcare,1
VGHCX,2013,0.0053090458972732,healthcare,1
VGHCX,2014,0.0071379473515697,healthcare,4
VGHCX,2015,0.0069327259298179,healthcare,3
VGHCX,2016,0.007901673790837,healthcare,5
VGHCX,2017,0.0052700888988596,healthcare,1
VGHCX,2018,0.0053798011430121,healthcare,1
VGHCX,2019,0.0074571429804171,healthcare,4
VGHCX,2020,0.0081400900185432,healthcare,5
VGHCX,2021,0.0069174956346167,healthcare,3
VGHCX,2022,0.0070864951531287,healthcare,4
VGHCX,2023,0.00637784192103,healthcare,2
VGHCX,2024,0.0084209000929273,healthcare,5
VGHCX,2025,0.0094421873115685,healthcare,7
