Fund,Year,L2_Distance,Sector
ICPAX,2007,0.22166771257398452,energy
ICPAX,2008,0.01372618948806399,energy
ICPAX,2009,0.007042458457503956,energy
ICPAX,2010,0.007338415684879723,energy
ICPAX,2011,0.013615416675299407,energy
ICPAX,2012,0.008864948180207229,energy
ICPAX,2013,0.0070818405652579835,energy
ICPAX,2014,0.009650367177952559,energy
ICPAX,2015,0.012410070089394225,energy
ICPAX,2016,0.014196712166953089,energy
ICPAX,2017,0.010935115250476869,energy
ICPAX,2018,0.011187439506917802,energy
ICPAX,2019,0.010635653377212948,energy
ICPAX,2020,0.02142696639779822,energy
ICPAX,2021,0.014225391529618919,energy
ICPAX,2022,0.017754802649822897,energy
ICPAX,2023,0.01281092330269006,energy
ICPAX,2024,0.009658391085092565,energy
ICPAX,2025,0.009651313139542655,energy
PRNEX,1999,0.01408651484846815,energy
PRNEX,2000,0.01656324389504034,energy
PRNEX,2001,0.013579108598139336,energy
PRNEX,2002,0.009176008652878346,energy
PRNEX,2003,0.007518895619015816,energy
PRNEX,2004,0.008429142103659568,energy
PRNEX,2005,0.00910613945622595,energy
PRNEX,2006,0.01100176268389563,energy
PRNEX,2007,0.00852054170667071,energy
PRNEX,2008,0.021435577358921352,energy
PRNEX,2009,0.012417596500392956,energy
PRNEX,2010,0.007562301732804896,energy
PRNEX,2011,0.009336678530152652,energy
PRNEX,2012,0.006615885778819884,energy
PRNEX,2013,0.00791043496065083,energy
PRNEX,2014,0.014413058121210574,energy
PRNEX,2015,0.008950767968950795,energy
PRNEX,2016,0.008253904050551184,energy
PRNEX,2017,0.005266361516311621,energy
PRNEX,2018,0.006368873190504909,energy
PRNEX,2019,0.0051959703771703525,energy
PRNEX,2020,0.010924384293406156,energy
PRNEX,2021,0.0073377398942436715,energy
PRNEX,2022,0.010715114093662407,energy
PRNEX,2023,0.010304730829292678,energy
PRNEX,2024,0.00791085984351448,energy
PRNEX,2025,0.008706170001680556,energy
RYEIX,1999,0.016859922551963478,energy
RYEIX,2000,0.022043763005636815,energy
RYEIX,2001,0.017739307097816646,energy
RYEIX,2002,0.01205682125450793,energy
RYEIX,2003,0.010527556529267705,energy
RYEIX,2004,0.010654857255037686,energy
RYEIX,2005,0.01272438708769372,energy
RYEIX,2006,0.0131876588372332,energy
RYEIX,2007,0.008969173353110394,energy
RYEIX,2008,0.024147349293876855,energy
RYEIX,2009,0.012327089994779104,energy
RYEIX,2010,0.007282027326715519,energy
RYEIX,2011,0.009887617779596146,energy
RYEIX,2012,0.007290173828368722,energy
RYEIX,2013,0.005650452358949894,energy
RYEIX,2014,0.010748289355401517,energy
RYEIX,2015,0.014862207550267034,energy
RYEIX,2016,0.01608297064818788,energy
RYEIX,2017,0.011054624799272066,energy
RYEIX,2018,0.01113958992874704,energy
RYEIX,2019,0.01088372956054547,energy
RYEIX,2020,0.027970404170665708,energy
RYEIX,2021,0.01760907496011679,energy
RYEIX,2022,0.0193635551898485,energy
RYEIX,2023,0.01276368287684632,energy
RYEIX,2024,0.010875507439983001,energy
RYEIX,2025,0.01161540802902313,energy
VGENX,1999,0.015424874551358558,energy
VGENX,2000,0.019667294612343934,energy
VGENX,2001,0.01769989059471037,energy
VGENX,2002,0.011604900241213434,energy
VGENX,2003,0.008958108174336074,energy
VGENX,2004,0.008775094576701729,energy
VGENX,2005,0.011023982021566707,energy
VGENX,2006,0.011888070204632088,energy
VGENX,2007,0.008772538260268348,energy
VGENX,2008,0.02153825897383763,energy
VGENX,2009,0.01193276554800847,energy
VGENX,2010,0.007041145228557557,energy
VGENX,2011,0.009142822881319977,energy
VGENX,2012,0.0064818693255000465,energy
VGENX,2013,0.004762588232826995,energy
VGENX,2014,0.008744644019854884,energy
VGENX,2015,0.011787604394120948,energy
VGENX,2016,0.011915879099441603,energy
VGENX,2017,0.007412671158711871,energy
VGENX,2018,0.008760097573140245,energy
VGENX,2019,0.007682487182304059,energy
VGENX,2020,0.017589395121066612,energy
VGENX,2021,0.008342122390566014,energy
VGENX,2022,0.012736383500628553,energy
VGENX,2023,0.009235793656283174,energy
VGENX,2024,0.012431495260003486,energy
VGENX,2025,0.009415624354888782,energy
