Year,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
2016,0.17253806213752032,0.12617268649970037,0.3358577999157317,0.14642135583602434,0.15804799214841214,0.08840013070508168,0.10616177003649496,0.2679550912630069,0.18192662321462905,0.18497210401066466,0.17311031072102434
2017,0.32873856744770724,0.36705115010116063,0.3417678911726061,0.482580738513392,0.31820648932453466,0.3456780290049615,0.3714963071908579,0.3039102777167091,0.4404143585472575,0.3345208059974132,0.3304019134933909
2018,-0.08082172932928056,0.000823680056887266,-0.1920396011801484,-0.11556995934793346,-0.13532396748929132,-0.03232339091497205,-0.005899372592681695,-0.004341776906787942,-0.05373338528487037,-0.1138756063390226,-0.10848956079944305
2019,0.3842550385933221,0.3872053010395391,0.6165836045647175,0.5066340119119397,0.42303943121436927,0.42001740346373007,0.3523444630587378,0.33282930134698585,0.386374851963444,0.5327429991248656,0.5252768758364679
2020,0.4313605668996041,0.4272822907234721,0.4150677942457892,0.6109221873659323,0.3101724702329034,0.43729860704089174,0.43454664548631916,0.2365981361915721,0.6504364494152362,0.423261483985917,0.4128783354167298
2021,0.24612072306286614,0.2126766626632155,0.5985384375920286,0.2422224355143292,0.20189576811568322,0.2543858869318538,0.164558609021336,0.2755901964224281,-0.07907985415813867,0.4059159030723227,0.4098127114788188
2022,-0.2856575601372503,-0.29247026360732875,-0.3646965633228091,-0.37487643560229755,-0.20151917405236797,-0.3716091686131382,-0.3675396091502695,-0.3180649182509907,-0.4437281941832918,-0.32203885574577384,-0.31695393886265977
2023,0.33801329722042994,0.5126150020601781,0.8184610209001453,0.6182692934712437,0.14132751667831256,0.5794524118915749,0.5368596286515335,0.4764339632075638,0.3388483725038389,0.45855930049332927,0.44840457876924633
2024,0.24874586970511303,0.13068453581038453,0.502491590612504,0.40464431409744095,0.14641887506194928,0.44813730961686393,0.406547437891849,0.2823459111212048,0.3640482904474902,0.29673877828142503,0.30234360743128574
2025,0.4070421456583666,0.06338265829253431,0.4319117672808348,0.24100391093822982,0.18849773366640843,0.21975086565738988,0.16942749300332172,0.24323660879646058,0.18071470768306175,0.35557983915942826,0.3773778904934295
