Year,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
2015,0.06780856244896594,0.02672544761506468,0.027475036093813188,0.026803261523709043,0.05483391864065945,0.01156305123206991,0.01797857297796024,0.012775344837297142,-0.025161476860434906,0.02867785888763108,0.042535494866780654
2016,0.09366807854733739,0.0972963749078688,0.0673767118389137,0.08101463871535475,0.0921638622048,0.07229079262439608,0.07942543144694603,0.11653237785308579,0.07103181571862671,0.09772812729349578,0.07815306903431418
2017,0.0755740534746594,0.05305440266138506,0.006585473177948664,0.0506289473154895,0.04084283313852377,0.07970371001113463,0.052957466601963654,0.081838685812329,0.06258329670619234,0.07481086443093865,0.04088025292830544
2018,-0.04287187334676279,-0.027997063568685476,-0.07723386700691093,-0.05730287689675351,-0.038861900650666414,-0.05390242818041091,-0.07301663831753324,-0.04576419696072065,-0.06869812909239237,-0.025799803613350547,-0.09271064275069452
2019,0.3344228349608733,0.30026676212473635,0.3349828205201604,0.2743557141512942,0.2776547285040831,0.29784531851819174,0.29634272147408325,0.27658970764769797,0.3011176292301576,0.28889589307982977,0.24462784217845313
2020,-0.015832390947472907,-0.04771423773172445,0.010596738796787797,-0.05904881730960709,-0.0743648334839494,-0.10653673688836374,-0.013199162108215923,-0.0783202978963764,-0.04612076325675696,-0.001550461797669489,-0.1108529994437667
2021,0.4630782659202397,0.46544332396540056,0.19209064816189358,0.4608987395544146,0.47267729578323436,0.4530082005139511,0.5221177374055415,0.48556749064525784,0.4650858260887174,0.4293175601959387,0.5260425253213048
2022,-0.25900722363522954,-0.2439442078323426,-0.07198179376151503,-0.24206279482411408,-0.23643052666844988,-0.2410573743281439,-0.25830932752423064,-0.26565583031542506,-0.27569779077068524,-0.25366943728517166,-0.25641867959525144
2023,0.12572150913607794,0.11172766158468006,0.07195808948821636,0.11409147475563808,0.10637377670248482,0.08877528567464665,0.11393425272971491,0.10705122940313094,0.09959160248927112,0.13149584835262607,0.13190645300487835
2024,0.04554991164270161,0.03464360910745223,-0.009968609252100635,0.03785380899181279,0.04103622228990056,-0.002064742812754372,0.08294469712565333,0.02617290677405726,0.05564341095722547,0.04175417546900384,0.01724848518910438
2025,0.0583814463990433,0.032619620067243726,0.1823429883330665,0.04088582101470317,0.04625326804636187,0.015254677985611753,0.019409555391353805,-0.04068498623584138,0.008702519559340871,0.033594299699748476,0.018660311485399816
