Fund,Year,L2_Norm,Sector,Cluster_k5,Cluster_k8
FSPHX,2024,0.1038845473809969,healthcare,3,4
FSPHX,2025,0.1305575560055643,healthcare,4,6
PHSTX,1999,0.1230834068523732,healthcare,3,5
PHSTX,2000,0.2134472793059645,healthcare,5,8
PHSTX,2001,0.1673820708626146,healthcare,5,7
PHSTX,2002,0.1334965780581988,healthcare,4,6
PHSTX,2003,0.0863749352403582,healthcare,2,3
PHSTX,2004,0.0745426972198654,healthcare,1,2
PHSTX,2005,0.0647069385301086,healthcare,1,1
PHSTX,2006,0.0597193108825271,healthcare,1,1
PHSTX,2007,0.053583183904658,healthcare,1,1
PHSTX,2008,0.1178330743952453,healthcare,3,5
PHSTX,2009,0.1104689339345594,healthcare,3,4
PHSTX,2010,0.067198134922359,healthcare,1,2
PHSTX,2011,0.067015100643735,healthcare,1,2
PHSTX,2012,0.0548053408217895,healthcare,1,1
PHSTX,2013,0.0568915161163279,healthcare,1,1
PHSTX,2014,0.0842488806507171,healthcare,2,3
PHSTX,2015,0.1063113897238933,healthcare,3,4
PHSTX,2016,0.1127151072301295,healthcare,3,5
PHSTX,2017,0.0684569084155315,healthcare,1,2
PHSTX,2018,0.064403788825818,healthcare,1,1
PHSTX,2019,0.0848412774957332,healthcare,2,3
PHSTX,2020,0.11236881043371,healthcare,3,5
PHSTX,2021,0.0788231027793046,healthcare,2,2
PHSTX,2022,0.0980542439697568,healthcare,2,4
PHSTX,2023,0.0902089832043289,healthcare,2,3
PHSTX,2024,0.0904403454617822,healthcare,2,3
PHSTX,2025,0.1385515176684205,healthcare,4,6
PRHSX,1999,0.1337998710359764,healthcare,4,6
PRHSX,2000,0.2993815699828575,healthcare,5,8
PRHSX,2001,0.2108403437749744,healthcare,5,8
PRHSX,2002,0.1795508541981079,healthcare,5,7
PRHSX,2003,0.1188359452709158,healthcare,3,5
PRHSX,2004,0.1063966732991158,healthcare,3,4
PRHSX,2005,0.1005381520204226,healthcare,3,4
PRHSX,2006,0.0814843371904837,healthcare,2,2
PRHSX,2007,0.0569176422435647,healthcare,1,1
PRHSX,2008,0.1410592165971979,healthcare,4,6
PRHSX,2009,0.1207643435208581,healthcare,3,5
PRHSX,2010,0.0807081390771666,healthcare,2,2
PRHSX,2011,0.0900789559181104,healthcare,2,3
PRHSX,2012,0.0845862775841221,healthcare,2,3
PRHSX,2013,0.0856876008678405,healthcare,2,3
PRHSX,2014,0.1149890984273287,healthcare,3,5
PRHSX,2015,0.1269715805736926,healthcare,4,5
PRHSX,2016,0.1301635304140917,healthcare,4,6
PRHSX,2017,0.0920117515817709,healthcare,2,3
PRHSX,2018,0.0866357605764573,healthcare,2,3
PRHSX,2019,0.1050268563839823,healthcare,3,4
PRHSX,2020,0.1357239174907415,healthcare,4,6
PRHSX,2021,0.1191060643779365,healthcare,3,5
PRHSX,2022,0.1150981542908841,healthcare,3,5
PRHSX,2023,0.0892386205496946,healthcare,2,3
PRHSX,2024,0.099652645678223,healthcare,3,4
PRHSX,2025,0.1328608900195216,healthcare,4,6
SPY,1999,7.295920722536886e-06,healthcare,1,1
SPY,2000,7.919289927774363e-06,healthcare,1,1
SPY,2001,7.122641856693431e-06,healthcare,1,1
SPY,2002,8.58067931814203e-06,healthcare,1,1
SPY,2003,8.64934192944911e-06,healthcare,1,1
SPY,2004,7.650076521510294e-06,healthcare,1,1
SPY,2005,6.157244905375693e-06,healthcare,1,1
