Fund,Year,L2_Norm,Sector,Cluster_k5,Cluster_k8,Cluster_k9,Cluster_k11,Cluster_k12
PRUAX,1999,0.0891713544578081,utilities,2,3,3,4,4
PRUAX,2000,0.1378041123281117,utilities,4,6,7,8,9
PRUAX,2001,0.1594059821502971,utilities,5,7,8,9,10
PRUAX,2002,0.1539494831802952,utilities,4,7,8,9,10
PRUAX,2003,0.0847289661166137,utilities,2,3,3,4,4
PRUAX,2004,0.0817455941302053,utilities,2,2,3,3,3
PRUAX,2005,0.0944346737090571,utilities,2,3,4,4,5
PRUAX,2006,0.0778223453337342,utilities,2,2,2,3,3
PRUAX,2007,0.0737986299882831,utilities,1,2,2,2,3
PRUAX,2008,0.1649195794977896,utilities,5,7,8,10,10
PRUAX,2009,0.0985905683237494,utilities,2,4,4,5,5
PRUAX,2010,0.0624285412342785,utilities,1,1,1,2,2
PRUAX,2011,0.0645010979312083,utilities,1,1,2,2,2
PRUAX,2012,0.0558993783425585,utilities,1,1,1,1,2
PRUAX,2013,0.0589170776319233,utilities,1,1,1,2,2
PRUAX,2014,0.1727822496251309,utilities,5,7,8,10,11
PRUAX,2015,0.1051932523509111,utilities,3,4,5,5,6
PRUAX,2016,0.1104010065043887,utilities,3,4,5,6,6
PRUAX,2017,0.0756661700018895,utilities,1,2,2,3,3
PRUAX,2018,0.1102625666107563,utilities,3,4,5,6,6
PRUAX,2019,0.0925141052898329,utilities,2,3,4,4,5
PRUAX,2020,0.1642221476219598,utilities,5,7,8,10,10
PRUAX,2021,0.0987722023430081,utilities,2,4,4,5,5
PRUAX,2022,0.1388798021089251,utilities,4,6,7,8,9
PRUAX,2023,0.1290695617497493,utilities,4,6,6,7,8
PRUAX,2024,0.1433937364915412,utilities,4,6,7,9,9
PRUAX,2025,0.140862222015404,utilities,4,6,7,9,9
SPY,1999,7.295920722536886e-06,utilities,1,1,1,1,1
SPY,2000,7.919289927774363e-06,utilities,1,1,1,1,1
SPY,2001,7.122641856693431e-06,utilities,1,1,1,1,1
SPY,2002,8.58067931814203e-06,utilities,1,1,1,1,1
SPY,2003,8.64934192944911e-06,utilities,1,1,1,1,1
SPY,2004,7.650076521510294e-06,utilities,1,1,1,1,1
SPY,2005,6.157244905375693e-06,utilities,1,1,1,1,1
SPY,2006,5.838773460298096e-06,utilities,1,1,1,1,1
SPY,2007,6.776067706460308e-06,utilities,1,1,1,1,1
SPY,2008,6.183331002242675e-06,utilities,1,1,1,1,1
SPY,2009,6.491415219928968e-06,utilities,1,1,1,1,1
SPY,2010,5.430407568406071e-06,utilities,1,1,1,1,1
SPY,2011,4.790213669406377e-06,utilities,1,1,1,1,1
SPY,2012,5.544198958431018e-06,utilities,1,1,1,1,1
SPY,2013,6.24315814547322e-06,utilities,1,1,1,1,1
SPY,2014,5.343786278397521e-06,utilities,1,1,1,1,1
SPY,2015,4.824160114454516e-06,utilities,1,1,1,1,1
SPY,2016,4.808953814569827e-06,utilities,1,1,1,1,1
SPY,2017,3.4974083905991817e-06,utilities,1,1,1,1,1
SPY,2018,4.696512670229357e-06,utilities,1,1,1,1,1
SPY,2019,4.484753849945574e-06,utilities,1,1,1,1,1
SPY,2020,4.466574530142402e-06,utilities,1,1,1,1,1
SPY,2021,3.128869266939762e-06,utilities,1,1,1,1,1
SPY,2022,2.5187519170785e-06,utilities,1,1,1,1,1
SPY,2023,2.142930654048192e-06,utilities,1,1,1,1,1
SPY,2024,2.340284104344108e-06,utilities,1,1,1,1,1
SPY,2025,1.529883074361443e-06,utilities,1,1,1,1,1
