Fund,Year,L2_Norm,Sector,Cluster_k5
STMDX,2010,0.1272073088629627,real estate,4
STMDX,2011,0.1234438161468172,real estate,3
STMDX,2012,0.0885441491430806,real estate,2
STMDX,2013,0.1051315784943211,real estate,3
STMDX,2014,0.1189642336233094,real estate,3
STMDX,2015,0.1160581825367197,real estate,3
STMDX,2016,0.1291876914136901,real estate,4
STMDX,2017,0.0907704750671498,real estate,2
STMDX,2018,0.1294953508703497,real estate,4
STMDX,2019,0.1096725111359346,real estate,3
STMDX,2020,0.185889078052356,real estate,5
STMDX,2021,0.1126861663416392,real estate,3
STMDX,2022,0.1475824444736965,real estate,4
STMDX,2023,0.1425516445225718,real estate,4
STMDX,2024,0.1361380759878709,real estate,4
STMDX,2025,0.1306517056789794,real estate,4
TRREX,1999,0.1010741163095074,real estate,3
TRREX,2000,0.103001677163369,real estate,3
TRREX,2001,0.0873449791104994,real estate,2
TRREX,2002,0.1210874738821165,real estate,3
TRREX,2003,0.0897216958912782,real estate,2
TRREX,2004,0.1560106485377186,real estate,4
TRREX,2005,0.1178067636258587,real estate,3
TRREX,2006,0.1147441563107762,real estate,3
TRREX,2007,0.1561994145210905,real estate,4
TRREX,2008,0.4365553445563679,real estate,5
TRREX,2009,0.3179896690097784,real estate,5
TRREX,2010,0.1341771647633304,real estate,4
TRREX,2011,0.1197734168998717,real estate,3
TRREX,2012,0.0879658915208599,real estate,2
TRREX,2013,0.0995387435173866,real estate,3
TRREX,2014,0.0827271703125226,real estate,2
TRREX,2015,0.1193508323082957,real estate,3
TRREX,2016,0.1184506798814492,real estate,3
TRREX,2017,0.0981969866421901,real estate,2
TRREX,2018,0.1335960274987905,real estate,4
TRREX,2019,0.1048904500152807,real estate,3
TRREX,2020,0.2353595160898183,real estate,5
TRREX,2021,0.1219690478404876,real estate,3
TRREX,2022,0.1439981877196099,real estate,4
TRREX,2023,0.1424219510286899,real estate,4
TRREX,2024,0.1409889142384472,real estate,4
TRREX,2025,0.1360447245295586,real estate,4
